,Spécial,Ordering curves on hyperbolic surfaces,PARLIER Hugo,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,13:30,14:30
A2865MY,Spécial,Upper bound for distance in the pants graph,YAZDI Mohammadmahdi,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,14:30,15:00
A2866,Spécial,Embedding Graphs into Two-Dimensional Simplicial Complexes,COLIN DE VERDIÈRE Éric,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,15:00,15:30
A2870AP,Spécial,The Teichmüller polynomial via Fox calculus,PARLAK Anna,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,16:00,16:30
A2875OR,Spécial,Localized geometric moves to compute hyperbolic structures on triangulated 3-manifolds,ROUILLÉ Owen,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,16:30,17:00
,Spécial,T.B.A.,MÁLAGA Alba,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Monday,1,17:00,17:30
,Spécial,RANDOM MULTICURVES ON LARGE GENUS SURFACES,DELECROIX Vincent,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Tuesday,2,13:30,14:30
A2863LJ,Spécial,Constructing hyperelliptic pillowcase covers from meanders,JEFFREYS Luke,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Tuesday,2,14:30,15:00
A2869RW,Spécial,The conjugacy problem in mapping class groups,WEBB Richard,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Tuesday,2,15:00,15:30
A2874VE,Spécial,"Counting dihedral subgroups of lattices in PSL(2, R)",ERLANDSSON Viveka,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Tuesday,2,16:00,17:00
A2861CM,Spécial,Parameterized complexity in low dimensional topology,MARIA Clément,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Tuesday,2,17:00,17:30
A2872NF,Spécial,Short canonical decomposition for non-orientable surfaces,FULADI Niloufar,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Wednesday,3,9:00,9:30
A2873CL,Spécial,Tree-like width of knots and obstructions.,Lunel Corentin,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Wednesday,3,9:30,10:00
A2867AD,Spécial,Computational Complexity and Knot Theory,DE MESMAY Arnaud,26 - Combinatorial and Computational Aspects in Topology,#Group 1,Wednesday,3,10:30,11:30
Reference,Typologie,Title,Main author,Session,Group,Date,,Start time,End time
,Spécial,CANCELLED ,PARSA Salman,26 - Combinatorial and Computational Aspects in Topology,#Group 1,,,,
A2871TV,Spécial,CANCELLED ,VO Thi Hanh,26 - Combinatorial and Computational Aspects in Topology,#Group 1,,,,
